model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
AUDI R8,4.2,8.0,AutoMan-6,4WD,Gasoline,CA,small car,6,13,18,15,2,no
AUDI R8,5.2,10.0,Man-6,4WD,Gasoline,FA,small car,6,12,20,15,2,no
AUDI R8,5.2,10.0,AutoMan-6,4WD,Gasoline,FA,small car,6,13,20,16,3,no
AUDI R8,5.2,10.0,Man-6,4WD,Gasoline,CA,small car,6,12,20,15,2,no
AUDI R8,5.2,10.0,AutoMan-6,4WD,Gasoline,CA,small car,6,13,20,16,3,no
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7,18,27,21,5,no
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,CA,small car,7,18,28,21,5,no
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,18,27,21,5,no
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,FA,small car,6,18,28,21,5,no
AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,FA,small car,6,14,22,17,3,no
AUDI S5,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,16,24,19,4,no
AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,CA,small car,6,14,22,17,3,no
AUDI S5,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,small car,6,16,24,19,4,no
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,CA,small car,7,17,26,20,5,no
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,FA,small car,6,17,26,20,5,no
AUDI S6,5.2,10.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,14,19,16,3,no
AUDI S6,5.2,10.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6,14,19,16,3,no
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,21,29,24,7,yes
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,21,29,24,7,yes
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,21,29,24,7,yes
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,21,29,24,7,yes
BENTLEY Azure,6.8,8.0,Auto-6,2WD,Gasoline,FA,small car,6,9,15,11,0,no
BENTLEY Azure,6.8,8.0,Auto-6,2WD,Gasoline,CA,small car,6,9,15,11,0,no
BENTLEY Brooklands,6.8,8.0,Auto-6,2WD,Gasoline,FA,small car,6,9,15,11,0,no
BENTLEY Brooklands,6.8,8.0,Auto-6,2WD,Gasoline,CA,small car,6,9,15,11,0,no
BENTLEY Continental Flying Spur,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,10,17,12,0,no
BENTLEY Continental Flying Spur,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6,10,17,12,0,no
BENTLEY Continental GT,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,10,17,13,0,no
BENTLEY Continental GT,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6,10,17,13,0,no
BENTLEY Continental GTC,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,10,17,12,0,no
BENTLEY Continental GTC,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6,10,17,12,0,no
BENTLEY Continental Supersports,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,12,19,14,1,no
BENTLEY Continental Supersports,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6,12,19,14,1,no
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9,18,27,21,5,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,18,27,21,5,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,27,21,5,no
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,27,21,5,no
