model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
CADILLAC CT5,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,6,23,32,26,5,No
CADILLAC CT5,2.0,4.0,SemiAuto-10,4WD,Gasoline,midsize car,6,21,31,25,5,No
CADILLAC CT5,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,19,26,21,4,No
CADILLAC CT5,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,18,25,21,4,No
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,18,26,21,4,No
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,17,25,20,4,No
CADILLAC CT6,3.6,6.0,SemiAuto-10,4WD,Gasoline,large car,5,18,27,21,4,No
CADILLAC CT6,4.2,8.0,SemiAuto-10,4WD,Gasoline,large car,3,14,25,17,3,No
CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,21,17,3,No
CADILLAC XT4,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,24,30,26,5,No
CADILLAC XT4,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,22,29,24,5,No
CADILLAC XT5,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No
CADILLAC XT5,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,21,26,23,5,No
CADILLAC XT5,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,26,21,4,No
CADILLAC XT5,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,18,25,20,4,No
CADILLAC XT6,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,25,20,4,No
CADILLAC XT6,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,17,24,20,4,No
CHEVROLET Blazer,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No
CHEVROLET Blazer,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,6,21,27,23,5,No
CHEVROLET Blazer,2.5,4.0,Auto-9,2WD,Gasoline,small SUV,5,21,27,23,5,No
CHEVROLET Blazer,3.6,6.0,Auto-9,2WD,Gasoline,small SUV,6,19,26,21,4,No
CHEVROLET Blazer,3.6,6.0,Auto-9,4WD,Gasoline,small SUV,6,18,25,21,4,No
CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20,30,23,5,No
CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
CHEVROLET Camaro,3.6,6.0,Man-6,2WD,Gasoline,small car,6,16,26,20,4,No
CHEVROLET Camaro,3.6,6.0,SemiAuto-10,2WD,Gasoline,small car,6,19,29,22,4,No
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,14,20,16,2,No
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,16,24,19,3,No
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,13,21,16,2,No
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,16,27,20,4,No
CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,20,30,23,4,No
CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,28,22,4,No
CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,18,22,19,3,No
CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,16,18,17,3,No
CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,3,15,27,19,3,No
CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,7,26,31,28,6,No
CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,7,25,30,27,6,No
CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,29,25,5,No
CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22,28,24,5,No
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,7,19,28,22,4,No
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,6,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,19,22,20,4,No
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,20,23,21,4,No
CHEVROLET Silverado,2.7,4.0,Auto-8,4WD,Gasoline,pickup,6,19,22,20,4,No
CHEVROLET Silverado,3.0,6.0,Auto-10,2WD,Diesel,pickup,1,23,33,27,5,No
CHEVROLET Silverado,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,23,29,25,4,No
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,pickup,6,16,21,17,3,No
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,special purpose,6,15,19,17,3,No
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,15,20,17,3,No
