model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
BENTLEY Flying Spur,6.0,12.0,AMS-8,4WD,Gasoline,midsize car,3,12,19,15,2,No,high,high,medium,low,low,low,low
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,midsize car,1,10,16,12,1,No,high,high,low,low,low,low,low
BMW 228i ,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21,32,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,32,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,26,36,30,7,Yes,medium,medium,high,high,high,high,high
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,25,34,28,6,No,medium,medium,high,high,high,high,mod_high
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,22,32,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21,33,25,5,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,29,24,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20,28,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,small car,3,18,28,21,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,25,33,28,6,No,medium,medium,high,high,high,high,mod_high
BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,24,31,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,30,25,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,22,29,25,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,3,22,29,24,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20,28,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW 840i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,29,24,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 840i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,23,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 840i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3,22,29,24,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 840i xDrive Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 840i xDrive Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW 840i xDrive Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW M2 CS Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,23,19,3,No,mod_high,mod_high,medium,low,medium,medium,medium
BMW M2 CS Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,24,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M2 Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M2 Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M235i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,23,32,26,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Coupe M Performance,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
