model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
FORD Explorer HEV,3.3,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,23,26,25,5,No,mod_high,mod_high,mod_high,mod_high,medium,mod_high,mod_high
FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,20,26,22,4,No,medium,mod_high,mod_high,mod_high,medium,medium,medium
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,18,23,20,4,No,medium,mod_high,mod_high,medium,medium,medium,medium
FORD F150,3.0,6.0,SemiAuto-10,2WD,Diesel,pickup,1,21,28,24,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
FORD F150,3.0,6.0,SemiAuto-10,2WD,Diesel,pickup,1,21,29,24,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
FORD F150,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,1,20,25,22,3,No,mod_high,mod_high,low,mod_high,medium,medium,medium
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,23,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,16,22,18,3,No,mod_high,mod_high,mod_high,low,low,low,medium
FORD F150 Limited,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,22,19,3,No,mod_high,mod_high,mod_high,medium,low,medium,medium
FORD F150 Limited,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,17,21,19,3,No,mod_high,mod_high,mod_high,medium,low,medium,medium
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,15,18,16,2,No,mod_high,mod_high,mod_high,low,low,low,low
FORD F150 XL/XLT,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,1,21,28,24,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
FORD Fusion,1.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,23,34,27,6,No,low,medium,high,mod_high,high,mod_high,mod_high
FORD Fusion,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,21,31,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Fusion,2.0,4.0,SemiAuto-6,4WD,Gasoline,midsize car,5,20,29,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Fusion,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,5,21,31,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,Yes,medium,medium,high,high,high,high,high
FORD Fusion Hybrid Taxi,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,40,41,9,Yes,medium,medium,high,high,high,high,high
FORD GT,3.5,6.0,AutoMan-7,2WD,Gasoline,small car,3,12,18,14,1,No,mod_high,mod_high,medium,low,low,low,low
FORD Mustang,2.3,4.0,Man-6,2WD,Gasoline,small car,5,21,30,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,21,32,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang,5.0,8.0,Man-6,2WD,Gasoline,small car,3,15,24,18,3,No,high,high,medium,low,medium,low,medium
FORD Mustang,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,3,16,25,19,3,No,high,high,medium,low,medium,medium,medium
FORD Mustang Bullitt,5.0,8.0,Man-6,2WD,Gasoline,small car,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
FORD Mustang Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,5,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang Convertible,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,3,15,24,18,3,No,high,high,medium,low,medium,low,medium
FORD Mustang HO Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,5,19,26,22,4,No,medium,medium,mod_high,medium,medium,medium,medium
FORD Mustang HO Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang HO Coupe,2.3,4.0,Man-6,2WD,Gasoline,small car,5,20,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Mustang HO Coupe,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Ranger,2.3,4.0,SemiAuto-10,2WD,Gasoline,special purpose,3,19,18,18,3,No,medium,medium,medium,medium,low,low,medium
FORD Ranger,2.3,4.0,SemiAuto-10,2WD,Gasoline,pickup,5,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
FORD Ranger,2.3,4.0,SemiAuto-10,4WD,Gasoline,pickup,5,20,24,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
FORD Shelby GT350 Mustang,5.2,8.0,Man-6,2WD,Gasoline,small car,3,14,21,16,2,No,high,high,medium,low,low,low,low
FORD Shelby GT500 Mustang,5.2,8.0,AutoMan-7,2WD,Gasoline,small car,3,12,18,14,1,No,high,high,medium,low,low,low,low
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Gasoline,special purpose,6,24,27,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Gasoline,special purpose,6,24,29,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,26,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,27,22,4,No,medium,medium,mod_high,mod_high,mod_high,medium,medium
FORD Transit Connect USPS,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,27,22,4,No,medium,medium,mod_high,mod_high,mod_high,medium,medium
GENESIS G70,2.0,4.0,Man-6,2WD,Gasoline,small car,3,18,28,22,4,No,medium,medium,medium,medium,mod_high,medium,medium
GENESIS G70,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
GENESIS G70,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,20,27,23,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
GENESIS G70,3.3,6.0,SemiAuto-8,2WD,Gasoline,small car,3,17,26,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G70,3.3,6.0,SemiAuto-8,4WD,Gasoline,small car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G80,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G80,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G80,3.8,6.0,SemiAuto-8,2WD,Gasoline,large car,5,18,26,21,4,No,high,mod_high,mod_high,medium,medium,medium,medium
GENESIS G80,3.8,6.0,SemiAuto-8,4WD,Gasoline,large car,5,18,24,20,4,No,high,mod_high,mod_high,medium,medium,medium,medium
GENESIS G80,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No,high,high,mod_high,low,medium,medium,medium
GENESIS G80,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No,high,high,mod_high,low,medium,low,medium
GENESIS G90,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G90,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
GENESIS G90,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No,high,high,mod_high,low,medium,medium,medium
GENESIS G90,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No,high,high,mod_high,low,medium,low,medium
GMC Acadia,2.0,4.0,Auto-9,2WD,Gasoline,standard SUV,6,21,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
GMC Acadia,2.0,4.0,Auto-9,4WD,Gasoline,standard SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
GMC Acadia,2.5,4.0,Auto-9,2WD,Gasoline,standard SUV,5,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
GMC Acadia,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,19,27,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
GMC Acadia,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,18,25,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
GMC Canyon,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
GMC Canyon,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No,medium,medium,mod_high,medium,medium,medium,medium
GMC Canyon,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,20,30,23,4,No,medium,medium,medium,mod_high,mod_high,mod_high,medium
GMC Canyon,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,28,22,4,No,medium,medium,medium,medium,mod_high,medium,medium
GMC Canyon,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
GMC Canyon,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,19,22,20,4,No,medium,medium,mod_high,medium,low,medium,medium
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,20,23,21,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
GMC Sierra,2.7,4.0,Auto-8,4WD,Gasoline,pickup,6,19,22,20,4,No,medium,medium,mod_high,medium,low,medium,medium
GMC Sierra,3.0,6.0,Auto-10,2WD,Diesel,pickup,1,23,30,26,5,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,mod_high
GMC Sierra,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,22,26,24,4,No,mod_high,mod_high,low,mod_high,medium,mod_high,medium
GMC Sierra,4.3,6.0,Auto-6,2WD,Gasoline,pickup,6,16,21,17,3,No,high,mod_high,mod_high,low,low,low,medium
GMC Sierra,4.3,6.0,Auto-6,2WD,Gasoline,special purpose,6,15,19,17,3,No,high,mod_high,mod_high,low,low,low,medium
GMC Sierra,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,15,20,17,3,No,high,mod_high,mod_high,low,low,low,medium
GMC Sierra,4.3,6.0,Auto-6,4WD,Gasoline,special purpose,6,14,16,15,2,No,high,mod_high,mod_high,low,low,low,low
GMC Sierra,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,22,19,3,No,high,high,mod_high,low,low,medium,medium
GMC Sierra,5.3,8.0,Auto-6,2WD,Gasoline,pickup,5,15,21,17,3,No,high,high,mod_high,low,low,low,medium
GMC Sierra,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,5,14,18,15,2,No,high,high,mod_high,low,low,low,low
GMC Sierra,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,15,20,17,3,No,high,high,mod_high,low,low,low,medium
GMC Sierra,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,5,14,17,15,2,No,high,high,mod_high,low,low,low,low
GMC Sierra,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,23,19,3,No,high,high,mod_high,medium,medium,medium,medium
GMC Sierra,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,24,20,4,No,high,high,mod_high,medium,medium,medium,medium
GMC Sierra,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,22,18,3,No,high,high,mod_high,low,low,low,medium
GMC Sierra,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,15,20,17,3,No,high,high,medium,low,low,low,medium
GMC Sierra AT4,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,22,26,24,4,No,mod_high,mod_high,low,mod_high,medium,mod_high,medium
GMC Sierra AT4,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,21,18,3,No,high,high,mod_high,low,low,low,medium
GMC Sierra AT4,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,14,18,16,2,No,high,high,mod_high,low,low,low,low
GMC Sierra AT4,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,21,18,3,No,high,high,mod_high,low,low,low,medium
GMC Sierra AT4,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,15,19,17,3,No,high,high,medium,low,low,low,medium
GMC Terrain,1.5,4.0,Auto-9,2WD,Gasoline,small SUV,7,26,30,27,6,No,low,medium,high,high,mod_high,mod_high,mod_high
GMC Terrain,1.5,4.0,Auto-9,4WD,Gasoline,small SUV,7,25,28,26,5,No,low,medium,high,high,mod_high,mod_high,mod_high
GMC Terrain,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
GMC Terrain,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No,high,high,medium,low,low,low,medium
GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No,high,high,medium,low,low,low,medium
GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No,high,high,medium,low,low,low,medium
GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No,high,high,medium,low,low,low,medium
GMC Yukon 1500 XL,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,14,21,16,2,No,high,high,medium,low,low,low,low
GMC Yukon 1500 XL,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No,high,high,medium,low,medium,low,medium
GMC Yukon 1500 XL,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,20,16,2,No,high,high,medium,low,low,low,low
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,large car,7,30,38,33,7,Yes,low,medium,high,high,high,high,high
HONDA Accord,1.5,4.0,Man-6,2WD,Gasoline,large car,6,26,35,30,7,Yes,low,medium,mod_high,high,high,high,high
HONDA Accord,1.5,4.0,SCV-7,2WD,Gasoline,large car,7,29,35,31,7,Yes,low,medium,high,high,high,high,high
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,large car,7,48,47,48,10,Elite,medium,medium,high,high,high,high,high
HONDA Accord,2.0,4.0,Man-6,2WD,Gasoline,large car,6,22,32,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
HONDA Accord,2.0,4.0,SemiAuto-10,2WD,Gasoline,large car,7,23,34,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
HONDA Accord 2.0T Sport/Touring,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,7,22,32,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
HONDA CR-V,1.5,4.0,CVT,2WD,Gasoline,small SUV,6,28,34,30,7,Yes,low,medium,mod_high,high,high,high,high
HONDA CR-V,1.5,4.0,CVT,4WD,Gasoline,small SUV,6,27,32,29,6,No,low,medium,mod_high,high,mod_high,high,mod_high
HONDA CR-V,2.0,4.0,CVT,4WD,Gasoline,small SUV,7,40,35,38,8,Yes,medium,medium,high,high,high,high,high
HONDA Civic 2Dr,1.5,4.0,CVT,2WD,Gasoline,small car,7,31,40,35,8,Yes,low,medium,high,high,high,high,high
HONDA Civic 2Dr,1.5,4.0,CVT,2WD,Gasoline,small car,3,31,40,35,8,No,low,medium,medium,high,high,high,high
HONDA Civic 2Dr,1.5,4.0,Man-6,2WD,Gasoline,small car,3,26,36,30,7,No,low,medium,medium,high,high,high,high
HONDA Civic 2Dr,1.5,4.0,SCV-7,2WD,Gasoline,small car,7,30,37,33,7,Yes,low,medium,high,high,high,high,high
HONDA Civic 2Dr,1.5,4.0,SCV-7,2WD,Gasoline,small car,3,30,37,33,7,No,low,medium,medium,high,high,high,high
HONDA Civic 2Dr,2.0,4.0,CVT,2WD,Gasoline,small car,7,30,38,33,7,Yes,medium,medium,high,high,high,high,high
HONDA Civic 2Dr,2.0,4.0,CVT,2WD,Gasoline,small car,3,30,38,33,7,No,medium,medium,medium,high,high,high,high
HONDA Civic 2Dr,2.0,4.0,Man-6,2WD,Gasoline,small car,3,25,35,29,6,No,medium,medium,medium,high,high,high,mod_high
HONDA Civic 2Dr,2.0,4.0,SCV-7,2WD,Gasoline,small car,7,29,36,32,7,Yes,medium,medium,high,high,high,high,high
HONDA Civic 2Dr,2.0,4.0,SCV-7,2WD,Gasoline,small car,3,29,36,32,7,No,medium,medium,medium,high,high,high,high
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,32,42,36,8,Yes,low,medium,high,high,high,high,high
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,midsize car,3,32,42,36,8,No,low,medium,medium,high,high,high,high
HONDA Civic 4Dr,1.5,4.0,Man-6,2WD,Gasoline,midsize car,3,26,36,30,7,No,low,medium,medium,high,high,high,high
HONDA Civic 4Dr,1.5,4.0,SCV-7,2WD,Gasoline,midsize car,7,30,38,33,7,Yes,low,medium,high,high,high,high,high
HONDA Civic 4Dr,1.5,4.0,SCV-7,2WD,Gasoline,midsize car,3,30,38,33,7,No,low,medium,medium,high,high,high,high
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,30,38,33,7,Yes,medium,medium,high,high,high,high,high
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,midsize car,3,30,38,33,7,No,medium,medium,medium,high,high,high,high
HONDA Civic 4Dr,2.0,4.0,Man-6,2WD,Gasoline,midsize car,3,25,36,29,6,No,medium,medium,medium,high,high,high,mod_high
HONDA Civic 4Dr,2.0,4.0,SCV-7,2WD,Gasoline,midsize car,7,29,37,32,7,Yes,medium,medium,high,high,high,high,high
HONDA Civic 4Dr,2.0,4.0,SCV-7,2WD,Gasoline,midsize car,3,29,37,32,7,No,medium,medium,medium,high,high,high,high
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,7,31,40,34,8,Yes,low,medium,high,high,high,high,high
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,3,31,40,34,8,No,low,medium,medium,high,high,high,high
HONDA Civic 5Dr,1.5,4.0,Man-6,2WD,Gasoline,large car,3,29,37,32,7,No,low,medium,medium,high,high,high,high
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,7,29,35,32,7,Yes,low,medium,high,high,high,high,high
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,3,29,35,32,7,No,low,medium,medium,high,high,high,high
HONDA Civic 5Dr,2.0,4.0,Man-6,2WD,Gasoline,large car,3,22,28,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7,33,40,36,8,Yes,low,medium,high,high,high,high,high
HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3,29,36,31,7,No,low,medium,medium,high,high,high,high
HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7,31,36,33,7,Yes,low,medium,high,high,high,high,high
HONDA HR-V,1.8,4.0,CVT,2WD,Gasoline,station wagon,5,28,34,30,7,Yes,low,medium,mod_high,high,high,high,high
HONDA HR-V,1.8,4.0,CVT,4WD,Gasoline,station wagon,5,27,31,29,6,No,low,medium,mod_high,high,mod_high,high,mod_high
HONDA HR-V,1.8,4.0,SCV-7,2WD,Gasoline,station wagon,5,28,34,30,7,Yes,low,medium,mod_high,high,high,high,high
HONDA HR-V,1.8,4.0,SCV-7,4WD,Gasoline,station wagon,5,26,31,28,6,No,low,medium,mod_high,high,mod_high,high,mod_high
HONDA Insight,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,55,49,52,10,Elite,low,medium,high,high,high,high,high
HONDA Insight Touring,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,51,45,48,10,Elite,low,medium,high,high,high,high,high
HONDA Odyssey,3.5,6.0,SemiAuto-10,2WD,Gasoline,minivan,5,19,28,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
HONDA Passport,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,3,20,25,22,4,No,mod_high,mod_high,medium,mod_high,medium,medium,medium
HONDA Passport,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,24,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
HONDA Pilot,3.5,6.0,Auto-6,2WD,Gasoline,small SUV,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
HONDA Pilot,3.5,6.0,Auto-6,4WD,Gasoline,small SUV,3,18,26,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
HONDA Pilot,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
HONDA Pilot,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
HONDA Ridgeline,3.5,6.0,SemiAuto-9,2WD,Gasoline,pickup,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
HONDA Ridgeline,3.5,6.0,SemiAuto-9,4WD,Gasoline,pickup,3,19,24,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
HYUNDAI Accent,1.6,4.0,CVT,2WD,Gasoline,small car,3,33,41,36,8,No,low,medium,medium,high,high,high,high
HYUNDAI Accent,1.6,4.0,Man-6,2WD,Gasoline,small car,3,29,39,33,7,No,low,medium,medium,high,high,high,high
HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3,33,41,36,8,No,low,medium,medium,high,high,high,high
HYUNDAI Elantra,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,5,26,33,29,6,No,low,medium,mod_high,high,high,high,mod_high
HYUNDAI Elantra,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,30,40,34,8,Yes,medium,medium,high,high,high,high,high
HYUNDAI Elantra,2.0,4.0,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,Yes,medium,medium,mod_high,high,high,high,high
HYUNDAI Elantra GT,1.6,4.0,AMS-7,2WD,Gasoline,large car,5,25,32,28,6,No,low,medium,mod_high,high,mod_high,high,mod_high
HYUNDAI Elantra GT,1.6,4.0,Man-6,2WD,Gasoline,large car,5,23,30,26,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Elantra GT,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,5,25,32,27,6,No,medium,medium,mod_high,high,mod_high,mod_high,mod_high
HYUNDAI Elantra SE,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,31,41,35,8,Yes,medium,medium,high,high,high,high,high
HYUNDAI Elantra SE,2.0,4.0,CVT,2WD,Gasoline,midsize car,5,31,41,35,8,Yes,medium,medium,mod_high,high,high,high,high
HYUNDAI Ioniq,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,7,55,54,55,10,Elite,low,medium,high,high,high,high,high
HYUNDAI Ioniq Blue,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,7,57,59,58,10,Elite,low,medium,high,high,high,high,high
HYUNDAI Kona,1.6,4.0,AutoMan-7,2WD,Gasoline,small SUV,5,28,32,30,7,Yes,low,medium,mod_high,high,mod_high,high,high
HYUNDAI Kona,1.6,4.0,AutoMan-7,4WD,Gasoline,small SUV,5,26,29,27,6,No,low,medium,mod_high,high,mod_high,mod_high,mod_high
HYUNDAI Kona,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,27,33,30,7,Yes,medium,medium,mod_high,high,high,high,high
HYUNDAI Kona,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,26,30,28,6,No,medium,medium,mod_high,high,mod_high,high,mod_high
HYUNDAI Palisade,3.8,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,5,19,26,22,4,No,high,mod_high,mod_high,medium,medium,medium,medium
HYUNDAI Palisade,3.8,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,5,19,24,21,4,No,high,mod_high,mod_high,medium,medium,medium,medium
HYUNDAI Santa Fe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,5,20,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Santa Fe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,20,26,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
HYUNDAI Santa Fe,2.4,4.0,SemiAuto-8,2WD,Gasoline,small SUV,7,22,29,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Santa Fe,2.4,4.0,SemiAuto-8,2WD,Gasoline,small SUV,5,22,29,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Santa Fe,2.4,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Sonata,1.6,4.0,SemiAuto-8,2WD,Gasoline,large car,5,27,36,31,7,Yes,low,medium,mod_high,high,high,high,high
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,large car,7,27,37,31,7,Yes,medium,medium,high,high,high,high,high
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,large car,7,28,38,32,7,Yes,medium,medium,high,high,high,high,high
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,large car,7,45,51,47,10,Elite,medium,medium,high,high,high,high,high
HYUNDAI Sonata Hybrid Blue,2.0,4.0,AMS-6,2WD,Gasoline,large car,7,50,54,52,10,Elite,medium,medium,high,high,high,high,high
HYUNDAI Tuscon,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,23,28,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Tuscon,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,23,28,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
