model_2010,displ_2010,cyl_2010,trans_2010,drive_2010,fuel_2010,cert_region_2010,veh_class_2010,air_pollution_score_2010,city_mpg_2010,hwy_mpg_2010,cmb_mpg_2010,greenhouse_gas_score_2010,smartway_2010,displ_level_2010,cyl_level_2010,air_pollution_score_level_2010,city_mpg_level_2010,hwy_mpg_level_2010,cmb_mpg_level_2010,greenhouse_gas_score_level_2010,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,8.0,21,30,24,7.0,yes,low,medium,high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,8.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,8.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,8.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,8.0,22,28,24,7.0,yes,low,medium,high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,7.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,7.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,7.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,CA,station wagon,7.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,21,28,24,7.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,6.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,6.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,6.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,FA,station wagon,6.0,21,30,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,27,36,30,7,Yes,medium,medium,high,high,high,high,high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6.0,22,28,24,7.0,yes,low,medium,mod_high,high,mod_high,mod_high,mod_high,AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,5,27,35,30,7,Yes,medium,medium,mod_high,high,high,high,high
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,5,27,35,30,7,Yes,medium,medium,mod_high,high,high,high,high
AUDI A4,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,27,23,6.0,yes,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,3,24,32,27,6,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
