model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,CA,midsize car,7.0,18,28,22,6.0,yes,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6.0,18,26,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6,3.2,6.0,CVT,2WD,Gasoline,FA,midsize car,6.0,18,28,22,6.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A6,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7.0,18,26,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A6 Avant,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6.0,18,26,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI A8,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A8,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A8 L,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,large car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI A8 L,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,large car,6.0,16,23,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,18,23,20,5.0,no,mod_high,mod_high,mod_high,mod_high,medium,mod_high,mod_high
AUDI Q5,3.2,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,18,23,20,5.0,no,mod_high,mod_high,mod_high,mod_high,medium,mod_high,mod_high
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,14,19,16,3.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,13,18,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI Q7,3.6,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,14,19,16,3.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI Q7,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,13,18,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,FA,small car,6.0,12,19,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI R8,4.2,8.0,AutoMan-6,4WD,Gasoline,FA,small car,6.0,13,18,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,CA,small car,6.0,12,19,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI R8,4.2,8.0,AutoMan-6,4WD,Gasoline,CA,small car,6.0,13,18,15,2.0,no,mod_high,mod_high,mod_high,low,low,low,low
AUDI R8,5.2,10.0,Man-6,4WD,Gasoline,FA,small car,6.0,12,20,15,2.0,no,high,high,mod_high,low,low,low,low
AUDI R8,5.2,10.0,AutoMan-6,4WD,Gasoline,FA,small car,6.0,13,20,16,3.0,no,high,high,mod_high,low,low,low,low
AUDI R8,5.2,10.0,Man-6,4WD,Gasoline,CA,small car,6.0,12,20,15,2.0,no,high,high,mod_high,low,low,low,low
AUDI R8,5.2,10.0,AutoMan-6,4WD,Gasoline,CA,small car,6.0,13,20,16,3.0,no,high,high,mod_high,low,low,low,low
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,CA,small car,7.0,18,28,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S4,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S4,3.0,6.0,SemiAuto-7,4WD,Gasoline,FA,small car,6.0,18,28,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,FA,small car,6.0,14,22,17,3.0,no,mod_high,mod_high,mod_high,low,medium,medium,low
AUDI S5,4.2,8.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,16,24,19,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI S5,4.2,8.0,Man-6,4WD,Gasoline,CA,small car,6.0,14,22,17,3.0,no,mod_high,mod_high,mod_high,low,medium,medium,low
AUDI S5,4.2,8.0,SemiAuto-6,4WD,Gasoline,CA,small car,6.0,16,24,19,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,CA,small car,7.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-7,4WD,Gasoline,FA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
AUDI S6,5.2,10.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6.0,14,19,16,3.0,no,high,high,mod_high,low,low,low,low
AUDI S6,5.2,10.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6.0,14,19,16,3.0,no,high,high,mod_high,low,low,low,low
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,29,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
AUDI TT Coupe,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,21,29,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,21,29,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
AUDI TT Roadster,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,21,29,24,7.0,yes,low,medium,mod_high,mod_high,high,mod_high,mod_high
BENTLEY Azure,6.8,8.0,Auto-6,2WD,Gasoline,FA,small car,6.0,9,15,11,0.0,no,high,mod_high,mod_high,low,low,low,low
BENTLEY Azure,6.8,8.0,Auto-6,2WD,Gasoline,CA,small car,6.0,9,15,11,0.0,no,high,mod_high,mod_high,low,low,low,low
BENTLEY Brooklands,6.8,8.0,Auto-6,2WD,Gasoline,FA,small car,6.0,9,15,11,0.0,no,high,mod_high,mod_high,low,low,low,low
BENTLEY Brooklands,6.8,8.0,Auto-6,2WD,Gasoline,CA,small car,6.0,9,15,11,0.0,no,high,mod_high,mod_high,low,low,low,low
BENTLEY Continental Flying Spur,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6.0,10,17,12,0.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental Flying Spur,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6.0,10,17,12,0.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental GT,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,10,17,13,0.0,no,high,high,mod_high,low,low,low,low
